,title,authors,where_published,year,doi
161,"Keeping the Breath in Mind: Respiration, Neural Oscillations, and the Free Energy Principle","Boyadzhieva A, Kayhan E.",Front Neurosci,2021,10.3389/fnins.2021.647579
162,An Active Inference Model of Collective Intelligence,"Kaufmann R, Gupta P, Taylor J.",Entropy (Basel),2021,10.3390/e23070830
163,The Radically Embodied Conscious Cybernetic Bayesian Brain: From Free Energy to Free Will and Back Again,Safron A.,Entropy (Basel),2021,10.3390/e23060783
164,Information and Self-Organization II: Steady State and Phase Transition,"Haken H, Portugali J.",Entropy (Basel),2021,10.3390/e23060707
165,A Computational Framework for Controlling the Self-Restorative Brain Based on the Free Energy and Degeneracy Principles,"Park HJ, Kang J.",Front Comput Neurosci,2021,10.3389/fncom.2021.590019
166,Predictive Processing in Cognitive Robotics: A Review,"Ciria A, Schillaci G, Pezzulo G, Hafner VV, Lara B.",Neural Comput,2021,10.1162/neco_a_01383
167,Neural Dynamics under Active Inference: Plausibility and Efficiency of Information Processing,"Da Costa L, Parr T, Sengupta B, Friston K.",Entropy (Basel),2021,10.3390/e23040454
168,Multiscale Free Energy Analysis of Human Ecosystem Engineering,Fox S.,Entropy (Basel),2021,10.3390/e23040396
169,Brain Entropy During Aging Through a Free Energy Principle Approach,"Cieri F, Zhuang X, Caldwell JZK, Cordes D.",Front Hum Neurosci,2021,10.3389/fnhum.2021.647513
170,Active Vision for Robot Manipulators Using the Free Energy Principle,"Van de Maele T, Verbelen T, Çatal O, De Boom C, Dhoedt B.",Front Neurorobot,2021,10.3389/fnbot.2021.642780
171,The Thalamus as a Blackboard for Perception and Planning,"Worden R, Bennett MS, Neacsu V.",Front Behav Neurosci,2021,10.3389/fnbeh.2021.633872
172,"Cognition coming about: Self-organisation and free-energy: Commentary on Wright, J.J. and Bourke, P.D. (2020) ""The growth of cognition: Free energy minimization and the embryogenesis of cortical computation""","Hipólito I, Ramstead M, Constant A, Friston KJ.",Phys Life Rev,2021,10.1016/j.plrev.2020.08.001
173,The growth of cognition: Free energy minimization and the embryogenesis of cortical computation,"Wright JJ, Bourke PD.",Phys Life Rev,2021,10.1016/j.plrev.2020.05.004
174,A Technical Critique of Some Parts of the Free Energy Principle,"Biehl M, Pollock FA, Kanai R.",Entropy (Basel),2021,10.3390/e23030293
175,The Free Energy Principle: Good Science and Questionable Philosophy in a Grand Unifying Theory,Sánchez-Cañizares J.,Entropy (Basel),2021,10.3390/e23020238
176,Bayesian mechanics of perceptual inference and motor control in the brain,Kim CS.,Biol Cybern,2021,10.1007/s00422-021-00859-9
177,"Toward an Embodied, Embedded Predictive Processing Account",Venter E.,Front Psychol,2021,10.3389/fpsyg.2021.543076
178,Cooperation and Social Rules Emerging From the Principle of Surprise Minimization,"Hartwig M, Peters A.",Front Psychol,2021,10.3389/fpsyg.2020.606174
179,Compassion As an Intervention to Attune to Universal Suffering of Self and Others in Conflicts: A Translational Framework,"Ho SS, Nakamura Y, Swain JE.",Front Psychol,2021,10.3389/fpsyg.2020.603385
180,Representation Wars: Enacting an Armistice Through Active Inference,"Constant A, Clark A, Friston KJ.",Front Psychol,2021,10.3389/fpsyg.2020.598733
181,Multiscale integration: beyond internalism and externalism,"Ramstead MJD, Kirchhoff MD, Constant A, Friston KJ.",Synthese,2021,10.1007/s11229-019-02115-x
182,A critical analysis of Markovian monism,Beni MD.,Synthese,2021,10.1007/s11229-021-03075-x
183,Neural and phenotypic representation under the free-energy principle,"Ramstead MJD, Hesp C, Tschantz A, Smith R, Constant A, Friston K.",Neurosci Biobehav Rev,2021,10.1016/j.neubiorev.2020.11.024
184,"The Clinical, Philosophical, Evolutionary and Mathematical Machinery of Consciousness: An Analytic Dissection of the Field Theories and a Consilience of Ideas",Kesserwani H.,Cureus,2020,10.7759/cureus.12139
185,An Algorithmic Metaphysics of Self-Patterns,Beni MD.,Front Psychol,2020,10.3389/fpsyg.2020.607917
186,Active inference on discrete state-spaces: A synthesis,"Da Costa L, Parr T, Sajid N, Veselic S, Neacsu V, Friston K.",J Math Psychol,2020,10.1016/j.jmp.2020.102447
187,A Hybrid Human-Neurorobotics Approach to Primary Intersubjectivity via Active Inference,"Chame HF, Ahmadi A, Tani J.",Front Psychol,2020,10.3389/fpsyg.2020.584869
188,An integrative explanation of action,Beni MD.,Biosystems,2020,10.1016/j.biosystems.2020.104266
189,The QBIT Theory of Consciousness,Beshkar M.,Integr Psychol Behav Sci,2020,10.1007/s12124-020-09528-1
190,Learning Generative State Space Models for Active Inference,"Çatal O, Wauthier S, De Boom C, Verbelen T, Dhoedt B.",Front Comput Neurosci,2020,10.3389/fncom.2020.574372
191,"Hierarchical models of pain: Inference, information-seeking, and adaptive control","Seymour B, Mancini F.",Neuroimage,2020,10.1016/j.neuroimage.2020.117212
192,Variational Free Energy and Economics Optimizing With Biases and Bounded Rationality,Henriksen M.,Front Psychol,2020,10.3389/fpsyg.2020.549187
193,Curious Inferences: Reply to Sun and Firestone on the Dark Room Problem,"Seth AK, Millidge B, Buckley CL, Tschantz A.",Trends Cogn Sci,2020,10.1016/j.tics.2020.05.011
194,Is the Free-Energy Principle a Formal Theory of Semantics? From Variational Density Dynamics to Neural and Phenotypic Representations,"Ramstead MJD, Friston KJ, Hipólito I.",Entropy (Basel),2020,10.3390/e22080889
195,A tale of two densities: active inference is enactive inference,"Ramstead MJ, Kirchhoff MD, Friston KJ.",Adapt Behav,2020,
196,The role of Hebbian learning in human perception: a methodological and theoretical review of the human Visual Long-Term Potentiation paradigm,"Sumner RL, Spriggs MJ, Muthukumaraswamy SD, Kirk IJ.",Neurosci Biobehav Rev,2020,10.1016/j.neubiorev.2020.03.013
197,Scale-Free Biology: Integrating Evolutionary and Developmental Thinking,"Fields C, Levin M.",Bioessays,2020,10.1002/bies.201900228
198,"The science of consciousness does not need another theory, it needs a minimal unifying model",Wiese W.,Neurosci Conscious,2020,10.1093/nc/niaa013
199,"""Constraining"" the probability toward a specified attractor: Comment on: Morphogenesis as Bayesian inference: A variational approach to pattern formation and control in complex biological systems",Bizzarri M.,Phys Life Rev,2020,10.1016/j.plrev.2020.04.004
200,Morphogenesis as Bayesian inference: A variational approach to pattern formation and control in complex biological systems,"Kuchling F, Friston K, Georgiev G, Levin M.",Phys Life Rev,2020,10.1016/j.plrev.2019.06.001
201,Confidence in Decision-Making during Probabilistic Tactile Learning Related to Distinct Thalamo-Prefrontal Pathways,"Wang BA, Pleger B.",Cereb Cortex,2020,10.1093/cercor/bhaa073
202,An Integrated World Modeling Theory (IWMT) of Consciousness: Combining Integrated Information and Global Neuronal Workspace Theories With the Free Energy Principle and Active Inference Framework; Toward Solving the Hard Problem and Characterizing Agentic Causation,Safron A.,Front Artif Intell,2020,10.3389/frai.2020.00030
203,How mood tunes prediction: a neurophenomenological account of mood and its disturbance in major depression,"Kiverstein J, Miller M, Rietveld E.",Neurosci Conscious,2020,10.1093/nc/niaa003
204,Integrating models of cognition and culture will require a bit more math,"Zefferman MR, Smaldino PE.",Behav Brain Sci,2020,10.1017/S0140525X1900267X
205,TTOM in action: Refining the variational approach to cognition and culture,"Veissière SPL, Constant A, Ramstead MJD, Friston KJ, Kirmayer LJ.",Behav Brain Sci,2020,10.1017/S0140525X20000011
206,"""Through others we become ourselves"": The dialectics of predictive coding and active inference","Bolis D, Schilbach L.",Behav Brain Sci,2020,10.1017/S0140525X19002917
207,"Encultured minds, not error reduction minds","Mirski R, Bickhard MH, Eck D, Gut A.",Behav Brain Sci,2020,10.1017/S0140525X19002826
208,Thinking through prior bodies: autonomic uncertainty and interoceptive self-inference,"Allen M, Legrand N, Costa Correa CM, Fardo F.",Behav Brain Sci,2020,10.1017/S0140525X19002899
209,"Maladaptive social norms, cultural progress, and the free-energy principle",Colombo M.,Behav Brain Sci,2020,10.1017/S0140525X19002723
210,The cost of over-intellectualizing the free-energy principle,Hutto DD.,Behav Brain Sci,2020,10.1017/S0140525X19002851
211,Exploring disturbance as a force for good in motor learning,"Brookes J, Mushtaq F, Jamieson E, Fath AJ, Bingham G, Culmer P, Wilkie RM, Mon-Williams M.",PLoS One,2020,10.1371/journal.pone.0224055
212,Abstract representations of events arise from mental errors in learning and memory,"Lynn CW, Kahn AE, Nyema N, Bassett DS.",Nat Commun,2020,10.1038/s41467-020-15146-7
213,No-Reference Image Quality Assessment: An Attention Driven Approach,"Chen D, Wang Y, Gao W.",IEEE Trans Image Process,2020,10.1109/TIP.2020.2990342
214,Noise Helps Optimization Escape From Saddle Points in the Synaptic Plasticity,"Fang Y, Yu Z, Chen F.",Front Neurosci,2020,10.3389/fnins.2020.00343
215,An Investigation of the Free Energy Principle for Emotion Recognition,"Demekas D, Parr T, Friston KJ.",Front Comput Neurosci,2020,10.3389/fncom.2020.00030
216,"Markov blankets, information geometry and stochastic thermodynamics","Parr T, Da Costa L, Friston K.",Philos Trans A Math Phys Eng Sci,2020,10.1098/rsta.2019.0159
217,A Multimodal Saliency Model for Videos with High Audio-Visual Correspondence,"Min X, Zhai G, Zhou J, Zhang XP, Yang X, Guan X.",IEEE Trans Image Process,2020,10.1109/TIP.2020.2966082
218,A simple theory of every 'thing',Hipolito I.,Phys Life Rev,2019,10.1016/j.plrev.2019.10.006
219,Elements of qualitative cognition: An information topology perspective,Baudot P.,Phys Life Rev,2019,10.1016/j.plrev.2019.10.003
220,"The hierarchically mechanistic mind: an evolutionary systems theory of the human brain, cognition, and behavior","Badcock PB, Friston KJ, Ramstead MJD, Ploeger A, Hohwy J.",Cogn Affect Behav Neurosci,2019,10.3758/s13415-019-00721-3
221,The hierarchically mechanistic mind: A free-energy formulation of the human psyche,"Badcock PB, Friston KJ, Ramstead MJD.",Phys Life Rev,2019,10.1016/j.plrev.2018.10.002
222,Variational ecology and the physics of sentient systems,"Ramstead MJD, Constant A, Badcock PB, Friston KJ.",Phys Life Rev,2019,10.1016/j.plrev.2018.12.002
223,The Gravity of Objects: How Affectively Organized Generative Models Influence Perception and Social Behavior,Connolly P.,Front Psychol,2019,10.3389/fpsyg.2019.02599
224,Free Energy Principle in Human Postural Control System: Skin Stretch Feedback Reduces the Entropy,"Hur P, Pan YT, DeBuys C.",Sci Rep,2019,10.1038/s41598-019-53028-1
225,The Predictive Processing Model of EMDR,Chamberlin DE.,Front Psychol,2019,10.3389/fpsyg.2019.02267
226,"Working With the Predictable Life of Patients: The Importance of ""Mentalizing Interoception"" to Meaningful Change in Psychotherapy","Duquette P, Ainley V.",Front Psychol,2019,10.3389/fpsyg.2019.02173
227,Lessons From Astronomy and Biology for the Mind-Copernican Revolution in Neuroscience,Northoff G.,Front Hum Neurosci,2019,10.3389/fnhum.2019.00319
228,Psychoanalysis and Neuroscience: The Bridge Between Mind and Brain,"Cieri F, Esposito R.",Front Psychol,2019,10.3389/fpsyg.2019.01983
229,Underliquid Superlyophobic Copper-Coated Meshes for the Separation of Immiscible Organic Liquid Mixtures,"Zhao Z, Shen Y, Yang H, Li J, Guo L.",ACS Appl Mater Interfaces,2019,10.1021/acsami.9b05812
230,Somatic multicellularity as a satisficing solution to the prediction-error minimization problem,"Fields C, Levin M.",Commun Integr Biol,2019,10.1080/19420889.2019.1643666
231,REBUS and the Anarchic Brain: Toward a Unified Model of the Brain Action of Psychedelics,"Carhart-Harris RL, Friston KJ.",Pharmacol Rev,2019,10.1124/pr.118.017160
232,Thinking through other minds: A variational approach to cognition and culture,"Veissière SPL, Constant A, Ramstead MJD, Friston KJ, Kirmayer LJ.",Behav Brain Sci,2019,10.1017/S0140525X19001213
233,The emergence of synchrony in networks of mutually inferring neurons,"Palacios ER, Isomura T, Parr T, Friston K.",Sci Rep,2019,10.1038/s41598-019-42821-7
234,Conflicting emergences. Weak vs. strong emergence for the modelling of brain function,"Turkheimer FE, Hellyer P, Kehagia AA, Expert P, Lord LD, Vohryzek J, De Faria Dafflon J, Brammer M, Leech R.",Neurosci Biobehav Rev,2019,10.1016/j.neubiorev.2019.01.023
235,Simulating Active Inference Processes by Message Passing,"van de Laar TW, de Vries B.",Front Robot AI,2019,10.3389/frobt.2019.00020
236,"""Surprise"" and the Bayesian Brain: Implications for Psychotherapy Theory and Practice","Holmes J, Nolte T.",Front Psychol,2019,10.3389/fpsyg.2019.00592
237,PID Control as a Process of Active Inference with Linear Generative Models,"Baltieri M, Buckley CL.",Entropy (Basel),2019,10.3390/e21030257
238,Systems of Bounded Rational Agents with Information-Theoretic Constraints,"Gottwald S, Braun DA.",Neural Comput,2019,10.1162/neco_a_01153
239,Why do we fall into sync with others? Interpersonal synchronization and the brain's optimization principle,"Koban L, Ramamoorthy A, Konvalinka I.",Soc Neurosci,2019,10.1080/17470919.2017.1400463
240,The Hard Problem of Consciousness and the Free Energy Principle,Solms M.,Front Psychol,2019,10.3389/fpsyg.2018.02714
241,From Learning to Consciousness: An Example Using Expected Float Entropy Minimisation,Mason JWD.,Entropy (Basel),2019,10.3390/e21010060
242,The Projective Consciousness Model and Phenomenal Selfhood,"Williford K, Bennequin D, Friston K, Rudrauf D.",Front Psychol,2018,10.3389/fpsyg.2018.02571
243,Morphological Computation: Nothing but Physical Computation,Miłkowski M.,Entropy (Basel),2018,10.3390/e20120942
244,Deep active inference,Ueltzhöffer K.,Biol Cybern,2018,10.1007/s00422-018-0785-7
245,In vitro neural networks minimise variational free energy,"Isomura T, Friston K.",Sci Rep,2018,10.1038/s41598-018-35221-w
246,Being a Beast Machine: The Somatic Basis of Selfhood,"Seth AK, Tsakiris M.",Trends Cogn Sci,2018,10.1016/j.tics.2018.08.008
247,Free-energy minimization in joint agent-environment systems: A niche construction perspective,"Bruineberg J, Rietveld E, Parr T, van Maanen L, Friston KJ.",J Theor Biol,2018,10.1016/j.jtbi.2018.07.002
248,Recognition Dynamics in the Brain under the Free Energy Principle,Kim CS.,Neural Comput,2018,10.1162/neco_a_01115
249,What is mood? A computational perspective,"Clark JE, Watson S, Friston KJ.",Psychol Med,2018,10.1017/S0033291718000430
250,Active Inference in OpenAI Gym: A Paradigm for Computational Investigations Into Psychiatric Illness,"Cullen M, Davey B, Friston KJ, Moran RJ.",Biol Psychiatry Cogn Neurosci Neuroimaging,2018,10.1016/j.bpsc.2018.06.010
251,Expanding the Active Inference Landscape: More Intrinsic Motivations in the Perception-Action Loop,"Biehl M, Guckelsberger C, Salge C, Smith SC, Polani D.",Front Neurorobot,2018,10.3389/fnbot.2018.00045
252,Expected Free Energy Formalizes Conflict Underlying Defense in Freudian Psychoanalysis,Connolly P.,Front Psychol,2018,10.3389/fpsyg.2018.01264
253,A Measure of Information Available for Inference,Isomura T.,Entropy (Basel),2018,10.3390/e20070512
254,Interoceptive inference: From computational neuroscience to clinic,"Owens AP, Allen M, Ondobaka S, Friston KJ.",Neurosci Biobehav Rev,2018,10.1016/j.neubiorev.2018.04.017
255,Commentary: Respiration-Entrained Brain Rhythms Are Global but Often Overlooked,"Corcoran AW, Pezzulo G, Hohwy J.",Front Syst Neurosci,2018,10.3389/fnsys.2018.00025
256,Dynamical Relations in the Self-Pattern,"Gallagher S, Daly A.",Front Psychol,2018,10.3389/fpsyg.2018.00664
257,"Commentary: First-Order Embodiment, Second-Order Embodiment, Third-Order Embodiment",Quadt L.,Front Psychol,2018,10.3389/fpsyg.2018.00445
258,A variational approach to niche construction,"Constant A, Ramstead MJD, Veissière SPL, Campbell JO, Friston KJ.",J R Soc Interface,2018,10.1098/rsif.2017.0685
259,Investigating the relationship between cardiac interoception and autonomic cardiac control using a predictive coding framework,"Owens AP, Friston KJ, Low DA, Mathias CJ, Critchley HD.",Auton Neurosci,2018,10.1016/j.autneu.2018.01.001
260,"The free energy principle and autopoiesis: Comment on ""Answering Schrödinger's question: A free-energy formulation"" by Maxwell James Désormeau Ramstead, Paul Benjamin Badcock, Karl John Friston","Bitbol M, Gallagher S.",Phys Life Rev,2018,10.1016/j.plrev.2017.12.011
261,"Critique of pure free energy principle: Comment on ""Answering Schrödinger's question: A free-energy formulation"" by Maxwell James Désormeau Ramstead et al","Tozzi A, Peters JF.",Phys Life Rev,2018,10.1016/j.plrev.2017.10.003
262,Answering Schrödinger's question: A free-energy formulation,"Ramstead MJD, Badcock PB, Friston KJ.",Phys Life Rev,2018,10.1016/j.plrev.2017.09.001
263,Blind Stereoscopic Video Quality Assessment: From Depth Perception to Overall Experience,"Zhibo Chen, Wei Zhou, Weiping Li.",IEEE Trans Image Process,2018,10.1109/TIP.2017.2766780
264,Predictive Processing and the Representation Wars,Williams D.,Minds Mach (Dordr),2018,10.1007/s11023-017-9441-6
265,The anticipating brain is not a scientist: the free-energy principle from an ecological-enactive perspective,"Bruineberg J, Kiverstein J, Rietveld E.",Synthese,2018,10.1007/s11229-016-1239-1
266,High-energy brain dynamics during anesthesia-induced unconsciousness,"Riehl JR, Palanca BJ, Ching S.",Netw Neurosci,2017,10.1162/NETN_a_00023
267,"Active inference, enactivism and the hermeneutics of social cognition","Gallagher S, Allen M.",Synthese,2018,10.1007/s11229-016-1269-8
268,From cognitivism to autopoiesis: towards a computational framework for the embodied mind,"Allen M, Friston KJ.",Synthese,2018,10.1007/s11229-016-1288-5
269,"The Markov blankets of life: autonomy, active inference and the free energy principle","Kirchhoff M, Parr T, Palacios E, Friston K, Kiverstein J.",J R Soc Interface,2018,10.1098/rsif.2017.0792
270,A Factor Graph Description of Deep Temporal Active Inference,"de Vries B, Friston KJ.",Front Comput Neurosci,2017,10.3389/fncom.2017.00095
271,Hierarchical Recursive Organization and the Free Energy Principle: From Biological Self-Organization to the Psychoanalytic Mind,"Connolly P, van Deventer V.",Front Psychol,2017,10.3389/fpsyg.2017.01695
272,Uncertainty and stress: Why it causes diseases and how it is mastered by the brain,"Peters A, McEwen BS, Friston K.",Prog Neurobiol,2017,10.1016/j.pneurobio.2017.05.004
273,An initial demonstration of hierarchically porous niobium alkylphosphonates coordination polymers as potent radioanalytical separation materials,"Lv K, Yang CT, Han J, Hu S, Wang XL.",J Chromatogr A,2017,10.1016/j.chroma.2017.05.013
274,Predicting green: really radical (plant) predictive processing,"Calvo P, Friston K.",J R Soc Interface,2017,10.1098/rsif.2017.0096
275,Hierarchical disruption in the Bayesian brain: Focal epilepsy and brain networks,"Omidvarnia A, Pedersen M, Rosch RE, Friston KJ, Jackson GD.",Neuroimage Clin,2017,10.1016/j.nicl.2017.05.019
276,Iterative free-energy optimization for recurrent neural networks (INFERNO),"Pitti A, Gaussier P, Quoy M.",PLoS One,2017,10.1371/journal.pone.0173684
277,The Depressed Brain: An Evolutionary Systems Theory,"Badcock PB, Davey CG, Whittle S, Allen NB, Friston KJ.",Trends Cogn Sci,2017,10.1016/j.tics.2017.01.005
278,The role of interoceptive inference in theory of mind,"Ondobaka S, Kilner J, Friston K.",Brain Cogn,2017,10.1016/j.bandc.2015.08.002
279,Neurobiology as Information Physics,Street S.,Front Syst Neurosci,2016,10.3389/fnsys.2016.00090
280,Linking Neuromodulated Spike-Timing Dependent Plasticity with the Free-Energy Principle,"Isomura T, Sakai K, Kotani K, Jimbo Y.",Neural Comput,2016,10.1162/NECO_a_00862
281,Cultural Affordances: Scaffolding Local Worlds Through Shared Intentionality and Regimes of Attention,"Ramstead MJ, Veissière SP, Kirmayer LJ.",Front Psychol,2016,10.3389/fpsyg.2016.01090
282,New Perspectives on Spontaneous Brain Activity: Dynamic Networks and Energy Matter,"Tozzi A, Zare M, Benasich AA.",Front Hum Neurosci,2016,10.3389/fnhum.2016.00247
283,Modifying self-assembly and species separation in three-dimensional systems of shape-anisotropic particles,"Windows-Yule CR, Scheper BJ, den Otter WK, Parker DJ, Thornton AR.",Phys Rev E,2016,10.1103/PhysRevE.93.020901
284,Cultured Cortical Neurons Can Perform Blind Source Separation According to the Free-Energy Principle,"Isomura T, Kotani K, Jimbo Y.",PLoS Comput Biol,2015,10.1371/journal.pcbi.1004643
285,What is Optimum Variability?,Schuldberg D.,Nonlinear Dynamics Psychol Life Sci,2015,
286,Unifying treatments for depression: an application of the Free Energy Principle,Chekroud AM.,Front Psychol,2015,10.3389/fpsyg.2015.00153
287,A computational analysis of the neural bases of Bayesian inference,"Kolossa A, Kopp B, Fingscheidt T.",Neuroimage,2015,10.1016/j.neuroimage.2014.11.007
288,Why empathy has a beneficial impact on others in medicine: unifying theories,"Decety J, Fotopoulou A.",Front Behav Neurosci,2015,10.3389/fnbeh.2014.00457
289,Free energy minimization and information gain: The devil is in the details,"Kwisthout J, van Rooij I.",Cogn Neurosci,2015,10.1080/17588928.2015.1051014
290,"Self-organization, free energy minimization, and optimal grip on a field of affordances","Bruineberg J, Rietveld E.",Front Hum Neurosci,2014,10.3389/fnhum.2014.00599
291,The Bayesian brain: phantom percepts resolve sensory uncertainty,"De Ridder D, Vanneste S, Freeman W.",Neurosci Biobehav Rev,2014,10.1016/j.neubiorev.2012.04.001
292,[Human mirror neuron system],Inui T.,Brain Nerve,2014,
293,Time to get rid of the 'Modular' in neuropsychology: a unified theory of anosognosia as aberrant predictive coding,Fotopoulou A.,J Neuropsychol,2014,10.1111/jnp.12010
294,"Exploration, novelty, surprise, and free energy minimization","Schwartenbeck P, Fitzgerald T, Dolan RJ, Friston K.",Front Psychol,2013,10.3389/fpsyg.2013.00710
295,The embodied transcendental: a Kantian perspective on neurophenomenology,"Khachouf OT, Poletti S, Pagnoni G.",Front Hum Neurosci,2013,10.3389/fnhum.2013.00611
296,Minimal self-models and the free energy principle,"Limanowski J, Blankenburg F.",Front Hum Neurosci,2013,10.3389/fnhum.2013.00547
297,"Free energy, precision and learning: the role of cholinergic neuromodulation","Moran RJ, Campo P, Symmonds M, Stephan KE, Dolan RJ, Friston KJ.",J Neurosci,2013,10.1523/JNEUROSCI.4255-12.2013
298,Emotional valence and the free-energy principle,"Joffily M, Coricelli G.",PLoS Comput Biol,2013,10.1371/journal.pcbi.1003094
299,Modelling trial-by-trial changes in the mismatch negativity,"Lieder F, Daunizeau J, Garrido MI, Friston KJ, Stephan KE.",PLoS Comput Biol,2013,10.1371/journal.pcbi.1002911
300,A Free Energy Principle for Biological Systems,Karl F.,Entropy (Basel),2012,10.3390/e14112100
301,The history of the future of the Bayesian brain,Friston K.,Neuroimage,2012,10.1016/j.neuroimage.2011.10.004
302,Free-energy minimization and the dark-room problem,"Friston K, Thornton C, Clark A.",Front Psychol,2012,10.3389/fpsyg.2012.00130
303,A psychovisual quality metric in free-energy principle,"Zhai G, Wu X, Yang X, Lin W, Zhang W.",IEEE Trans Image Process,2012,10.1109/TIP.2011.2161092
304,Free energy and dendritic self-organization,"Kiebel SJ, Friston KJ.",Front Syst Neurosci,2011,10.3389/fnsys.2011.00080
305,Inference with minimal Gibbs free energy in information field theory,"Ensslin TA, Weig C.",Phys Rev E Stat Nonlin Soft Matter Phys,2010,10.1103/PhysRevE.82.051112
306,What is simulated in the action observation network when we observe actions?,"Neal A, Kilner JM.",Eur J Neurosci,2010,10.1111/j.1460-9568.2010.07435.x
307,Is the free-energy principle neurocentric?,Friston K.,Nat Rev Neurosci,2010,10.1038/nrn2787-c2
308,"The relation of ongoing brain activity, evoked neural responses, and cognition","Sadaghiani S, Hesselmann G, Friston KJ, Kleinschmidt A.",Front Syst Neurosci,2010,10.3389/fnsys.2010.00020
309,Predictive coding or evidence accumulation? False inference and neuronal fluctuations,"Hesselmann G, Sadaghiani S, Friston KJ, Kleinschmidt A.",PLoS One,2010,10.1371/journal.pone.0009926
310,Action and behavior: a free-energy formulation,"Friston KJ, Daunizeau J, Kilner J, Kiebel SJ.",Biol Cybern,2010,10.1007/s00422-010-0364-z
311,The free-energy principle: a unified brain theory?,Friston K.,Nat Rev Neurosci,2010,10.1038/nrn2787
312,Some puzzles relating to the free-energy principle: comment on Friston,Thornton C.,Trends Cogn Sci,2010,10.1016/j.tics.2009.11.010
313,Reinforcement learning or active inference?,"Friston KJ, Daunizeau J, Kiebel SJ.",PLoS One,2009,10.1371/journal.pone.0006421
314,The free-energy principle: a rough guide to the brain?,Friston K.,Trends Cogn Sci,2009,10.1016/j.tics.2009.04.005
315,Predictive coding under the free-energy principle,"Friston K, Kiebel S.",Philos Trans R Soc Lond B Biol Sci,2009,10.1098/rstb.2008.0300
316,Free-energy and the brain,"Friston KJ, Stephan KE.",Synthese,2007,10.1007/s11229-007-9237-y
317,A free energy principle for the brain,"Friston K, Kilner J, Harrison L.",J Physiol Paris,2006,10.1016/j.jphysparis.2006.10.001
