,title,authors,where_published,year,doi
32,Predictive Processing and the Pathophysiology of Functional Neurological Disorder,"Jungilligens J, Perez DL.",Curr Top Behav Neurosci,2024,10.1007/7854_2024_473
33,Bolstering the adaptive information processing model: a narrative review,"Rydberg JA, Virgitti L, Tarquinio C.",Front Psychiatry,2024,10.3389/fpsyt.2024.1374274
34,Decoding predicted musical notes from omitted stimulus potentials,"Ishida K, Ishida T, Nittono H.",Sci Rep,2024,10.1038/s41598-024-61989-1
35,Evaluating the predictions of an interoceptive inference model of bulimia nervosa,"Chester MA, Viranda T, Kaye WH, Berner LA.",J Eat Disord,2024,10.1186/s40337-024-01010-2
36,Feasibility and Efficacy of a Virtual Reality Social Prediction Training in Children and Young Adults with Congenital Cerebellar Malformations,"Butti N, Biffi E, Romaniello R, Finisguerra A, Valente EM, Strazzer S, Borgatti R, Urgesi C.",J Autism Dev Disord,2024,10.1007/s10803-024-06349-8
37,Autistic and nonautistic adolescents do not differ in adaptation to gaze direction,"Ward EK, Buitelaar JK, Hunnius S.",Autism Res,2024,10.1002/aur.3118
38,Expectation Modulates Repetition Suppression at Late But Not Early Stages during Visual Word Recognition: Evidence from Event-related Potentials,"Song B, Sommer W, Maurer U.",J Cogn Neurosci,2024,10.1162/jocn_a_02111
39,Multiple mechanisms of visual prediction as revealed by the timecourse of scene-object facilitation,"Smith CM, Federmeier KD.",Psychophysiology,2024,10.1111/psyp.14503
40,Bodily maps of uncertainty and surprise in musical chord progression and the underlying emotional response,"Daikoku T, Tanaka M, Yamawaki S.",iScience,2024,10.1016/j.isci.2024.109498
41,Mnemonic But Not Contextual Feedback Signals Defy Dedifferentiation in the Aging Early Visual Cortex,"Ehrlich I, Ortiz-Tudela J, Tan YY, Muckli L, Shing YL.",J Neurosci,2024,10.1523/JNEUROSCI.0607-23.2023
42,Predictive coding with spiking neurons and feedforward gist signaling,"Lee K, Dora S, Mejias JF, Bohte SM, Pennartz CMA.",Front Comput Neurosci,2024,10.3389/fncom.2024.1338280
43,Antipsychotic drugs selectively decorrelate long-range interactions in deep cortical layers,"Heindorf M, Keller GB.",Elife,2024,10.7554/eLife.86805
44,Prior probability cues bias sensory encoding with increasing task exposure,"Walsh K, McGovern DP, Dully J, Kelly SP, O'Connell RG.",Elife,2024,10.7554/eLife.91135
45,Motivation and prediction-driven processing of social memoranda,Reggev N.,Neurosci Biobehav Rev,2024,10.1016/j.neubiorev.2024.105613
46,Reduced stereotypicality and spared use of facial expression predictions for social evaluation in autism,"Robles M, Ramos-Grille I, Hervás A, Duran-Tauleria E, Galiano-Landeira J, Wormwood JB, Falter-Wagner CM, Chanes L.",Int J Clin Health Psychol,2024,10.1016/j.ijchp.2024.100440
47,Heart is deceitful above all things: Threat expectancy induces the illusory perception of increased heartrate,"Parrotta E, Bach P, Perrucci MG, Costantini M, Ferri F.",Cognition,2024,10.1016/j.cognition.2024.105719
48,Individual differences in internal models explain idiosyncrasies in scene perception,"Wang G, Foxwell MJ, Cichy RM, Pitcher D, Kaiser D.",Cognition,2024,10.1016/j.cognition.2024.105723
49,Disturbed interoception in body dysmorphic disorder: A framework for future research,"Jenkinson PM, Rossell SL.",Aust N Z J Psychiatry,2024,10.1177/00048674231215030
50,Effect of anticipatory multisensory integration on sensory-motor performance,"Lucia S, Aydin M, Bianco V, Fiorini L, Mussini E, Di Russo F.",Brain Struct Funct,2024,10.1007/s00429-023-02620-3
51,Spontaneously emerging internal models of visual sequences combine abstract and event-specific information in the prefrontal cortex,"Bellet ME, Gay M, Bellet J, Jarraya B, Dehaene S, van Kerkoerle T, Panagiotaropoulos TI.",Cell Rep,2024,10.1016/j.celrep.2024.113952
52,Visualizing threat and trustworthiness prior beliefs in face perception in high versus low paranoia,"Bott A, Steer HC, Faße JL, Lincoln TM.",Schizophrenia (Heidelb),2024,10.1038/s41537-024-00459-z
53,Predictive Brain Activity Shows Congruent Semantic Specificity in Language Comprehension and Production,"Grisoni L, Boux IP, Pulvermüller F.",J Neurosci,2024,10.1523/JNEUROSCI.1723-23.2023
54,Post-COVID breathlessness: a mathematical model of respiratory processing in the brain,"von Werder D, Regnath F, Schäfer D, Jörres R, Lehnen N, Glasauer S.",Eur Arch Psychiatry Clin Neurosci,2024,10.1007/s00406-023-01739-y
